EmployeeNo,Last_performance_score,No_of_previous_employers,Targets_met,Training_score_average,Trainings_Attended,Age_recurited,Years_in_company,Channel_of_Recruitment_Agency and others,Channel_of_Recruitment_Direct Internal process,Channel_of_Recruitment_Referral and Special candidates,Division_Business Finance Operations,Division_Commercial Sales and Marketing,Division_Customer Support and Field Operations,Division_Information Technology and Solution Support,Division_Information and Strategy,Division_People/HR Management,Division_Regulatory and Legal services,Division_Research and Innovation,Division_Sourcing and Purchasing,Foreign_schooled_No,Foreign_schooled_Yes,Gender_Female,Gender_Male,Marital_Status_Married,Marital_Status_Not_Sure,Marital_Status_Single,Previous_Award_0,Previous_Award_1,Previous_IntraDepartmental_Movement_No,Previous_IntraDepartmental_Movement_Yes,Qualification_First Degree or HND,"Qualification_MSc, MBA and PhD",Qualification_Non-University Education,Qualification_something_here,Past_Disciplinary_Action_No,Past_Disciplinary_Action_Yes,zone_NC,zone_NE,zone_NW,zone_SE,zone_SS,zone_SW
43685,YAK/S/18121,5.0,1,0,4.0943445622221,2,3.258096538021482,1.0986122886681096,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
43686,YAK/S/18123,7.5,1,0,4.174387269895637,2,3.4011973816621555,1.791759469228055,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
43687,YAK/S/18125,5.0,1,0,4.356708826689592,2,3.1780538303479458,1.6094379124341003,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
43688,YAK/S/18128,7.5,1,0,3.8712010109078907,3,3.258096538021482,2.3978952727983707,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
43689,YAK/S/18130,7.5,1,0,3.8712010109078907,2,3.367295829986474,2.0794415416798357,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
43690,YAK/S/18135,12.5,1,0,4.31748811353631,3,3.295836866004329,2.0794415416798357,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
43691,YAK/S/18138,5.0,1,0,4.1588830833596715,2,3.044522437723423,1.0986122886681096,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
43692,YAK/S/18139,7.5,1,1,3.713572066704308,3,3.2188758248682006,1.3862943611198906,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
43693,YAK/S/18142,7.5,1,0,3.6635616461296463,2,3.367295829986474,1.6094379124341003,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
43694,YAK/S/18145,5.0,0,0,4.31748811353631,2,3.1780538303479458,2.1972245773362196,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
43695,YAK/S/18146,12.5,1,1,4.2626798770413155,2,3.5553480614894135,2.9444389791664403,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
43696,YAK/S/18150,10.0,3,0,3.7612001156935624,2,3.258096538021482,1.0986122886681096,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
43697,YAK/S/18164,7.5,5,0,3.828641396489095,2,3.258096538021482,2.302585092994046,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
43698,YAK/S/18168,7.5,1,0,4.07753744390572,2,3.1354942159291497,1.0986122886681096,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
43699,YAK/S/18171,12.5,1,0,3.970291913552122,2,3.7612001156935624,1.6094379124341003,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
43700,YAK/S/18181,5.0,1,0,3.8712010109078907,2,3.6375861597263857,2.8903717578961645,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
43701,YAK/S/18183,10.0,1,0,3.8066624897703196,2,3.4965075614664802,2.3978952727983707,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
43702,YAK/S/18185,7.5,5,0,4.143134726391533,2,3.4657359027997265,2.0794415416798357,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
43703,YAK/S/18192,2.5,1,0,4.276666119016055,2,3.1780538303479458,2.302585092994046,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
43704,YAK/S/18198,5.0,4,0,3.713572066704308,4,3.295836866004329,2.4849066497880004,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
43705,YAK/S/18202,5.0,1,1,3.9512437185814275,2,3.258096538021482,1.6094379124341003,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
43706,YAK/S/18208,2.5,0,0,3.6635616461296463,2,3.332204510175204,3.258096538021482,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
43707,YAK/S/18211,12.5,1,0,4.356708826689592,2,3.367295829986474,2.1972245773362196,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0
43708,YAK/S/18212,10.0,1,0,4.276666119016055,4,3.091042453358316,1.9459101490553132,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
43709,YAK/S/18220,10.0,4,0,3.8501476017100584,2,3.4339872044851463,1.3862943611198906,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
43710,YAK/S/18221,7.5,1,0,3.9512437185814275,2,3.332204510175204,2.302585092994046,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
43711,YAK/S/18222,10.0,1,1,3.9318256327243257,2,3.5263605246161616,1.791759469228055,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
43712,YAK/S/18224,10.0,2,1,3.9318256327243257,2,3.295836866004329,2.1972245773362196,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
43713,YAK/S/18226,0.0,1,0,3.7376696182833684,2,3.2188758248682006,0.6931471805599453,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
43714,YAK/S/18230,12.5,1,1,4.143134726391533,2,3.4339872044851463,1.3862943611198906,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
43715,YAK/S/18231,7.5,1,0,3.970291913552122,3,3.1780538303479458,1.0986122886681096,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
43716,YAK/S/18232,2.5,1,0,3.784189633918261,2,3.332204510175204,1.9459101490553132,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
43717,YAK/S/18234,7.5,1,1,3.9512437185814275,4,3.295836866004329,1.9459101490553132,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
43718,YAK/S/18237,7.5,1,0,3.7376696182833684,2,3.1780538303479458,1.9459101490553132,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
43719,YAK/S/18239,7.5,0,0,3.784189633918261,2,3.091042453358316,1.791759469228055,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
43720,YAK/S/18243,2.5,0,0,3.784189633918261,2,2.995732273553991,1.6094379124341003,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
43721,YAK/S/18247,10.0,3,0,4.02535169073515,4,3.295836866004329,2.302585092994046,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
43722,YAK/S/18248,12.5,6,1,3.7376696182833684,2,3.4339872044851463,1.3862943611198906,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
43723,YAK/S/18249,12.5,0,1,3.7612001156935624,2,3.5553480614894135,1.3862943611198906,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
43724,YAK/S/18250,7.5,0,0,3.713572066704308,2,3.091042453358316,2.0794415416798357,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
43725,YAK/S/18253,7.5,1,0,4.204692619390966,2,3.713572066704308,2.9444389791664403,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
43726,YAK/S/18257,2.5,0,0,3.6888794541139363,2,3.258096538021482,1.9459101490553132,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
43727,YAK/S/18261,7.5,0,0,3.970291913552122,2,3.295836866004329,2.0794415416798357,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
43728,YAK/S/18264,7.5,3,1,4.330733340286331,2,3.258096538021482,1.9459101490553132,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
43729,YAK/S/18265,12.5,1,1,3.6109179126442243,2,3.1354942159291497,1.791759469228055,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
43730,YAK/S/18266,5.0,0,0,4.330733340286331,2,3.2188758248682006,1.3862943611198906,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
43731,YAK/S/18270,10.0,0,1,4.382026634673881,2,3.258096538021482,1.3862943611198906,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
43732,YAK/S/18273,2.5,5,1,3.713572066704308,2,3.7612001156935624,1.791759469228055,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
43733,YAK/S/18276,12.5,5,1,3.9889840465642745,2,3.9318256327243257,1.6094379124341003,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
43734,YAK/S/18280,12.5,1,0,4.356708826689592,2,3.1780538303479458,2.1972245773362196,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
43735,YAK/S/18283,12.5,2,1,4.143134726391533,3,3.4339872044851463,2.70805020110221,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
43736,YAK/S/18284,5.0,1,0,4.248495242049359,2,3.2188758248682006,1.0986122886681096,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
43737,YAK/S/18285,12.5,1,1,3.9512437185814275,2,3.6109179126442243,1.6094379124341003,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
43738,YAK/S/18288,0.0,1,0,3.8918202981106265,2,3.332204510175204,0.6931471805599453,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
43739,YAK/S/18289,12.5,1,1,3.8712010109078907,2,3.332204510175204,1.3862943611198906,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
43740,YAK/S/18291,12.5,1,1,3.713572066704308,3,3.044522437723423,1.9459101490553132,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
43741,YAK/S/18293,7.5,0,0,4.007333185232471,2,3.295836866004329,1.9459101490553132,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
43742,YAK/S/18296,7.5,0,0,3.8501476017100584,2,3.828641396489095,1.0986122886681096,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
43743,YAK/S/18297,10.0,1,0,4.276666119016055,2,3.258096538021482,2.995732273553991,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
43744,YAK/S/18299,7.5,0,0,4.382026634673881,2,3.4965075614664802,1.3862943611198906,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
43745,YAK/S/18303,7.5,1,0,3.7612001156935624,3,3.091042453358316,1.0986122886681096,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
43746,YAK/S/18304,0.0,1,0,4.07753744390572,2,3.1780538303479458,0.6931471805599453,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
43747,YAK/S/18306,7.5,1,1,3.7612001156935624,2,3.367295829986474,1.0986122886681096,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
43748,YAK/S/18311,2.5,1,0,3.970291913552122,2,3.4011973816621555,2.995732273553991,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1
43749,YAK/S/18312,10.0,0,0,3.8712010109078907,3,3.258096538021482,1.791759469228055,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
43750,YAK/S/18313,12.5,1,1,4.304065093204169,2,3.295836866004329,1.0986122886681096,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
43751,YAK/S/18314,7.5,1,0,3.970291913552122,2,3.367295829986474,1.791759469228055,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
43752,YAK/S/18316,2.5,0,1,4.2626798770413155,3,3.1780538303479458,1.6094379124341003,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
43753,YAK/S/18317,2.5,0,0,3.6888794541139363,2,3.1354942159291497,1.0986122886681096,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
43754,YAK/S/18320,10.0,1,0,3.8712010109078907,2,3.367295829986474,2.1972245773362196,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
43755,YAK/S/18322,7.5,0,0,4.31748811353631,2,3.8712010109078907,2.0794415416798357,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
43756,YAK/S/18324,12.5,1,1,3.9889840465642745,3,3.258096538021482,1.9459101490553132,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
43757,YAK/S/18337,2.5,1,0,3.7376696182833684,3,3.367295829986474,1.0986122886681096,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
43758,YAK/S/18339,2.5,1,0,3.7612001156935624,2,3.4011973816621555,2.0794415416798357,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
43759,YAK/S/18340,10.0,0,1,4.290459441148391,3,3.5263605246161616,1.0986122886681096,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
43760,YAK/S/18351,2.5,1,0,4.127134385045092,2,3.6888794541139363,1.9459101490553132,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
43761,YAK/S/18353,10.0,0,1,3.713572066704308,2,3.295836866004329,1.0986122886681096,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
43762,YAK/S/18354,7.5,0,0,3.713572066704308,2,3.044522437723423,1.6094379124341003,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
43763,YAK/S/18355,10.0,3,0,3.8066624897703196,2,3.295836866004329,1.3862943611198906,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
43764,YAK/S/18361,7.5,1,0,4.418840607796598,3,3.258096538021482,2.0794415416798357,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
43765,YAK/S/18368,0.0,1,0,3.6635616461296463,2,2.8903717578961645,0.6931471805599453,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
43766,YAK/S/18370,12.5,1,1,4.276666119016055,2,3.1780538303479458,1.791759469228055,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
43767,YAK/S/18371,12.5,2,1,3.8501476017100584,2,3.332204510175204,2.4849066497880004,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
43768,YAK/S/18376,7.5,1,0,3.912023005428146,2,3.2188758248682006,1.0986122886681096,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
43769,YAK/S/18383,2.5,0,0,3.713572066704308,2,3.4339872044851463,1.3862943611198906,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
43770,YAK/S/18384,2.5,1,0,3.713572066704308,2,3.1780538303479458,1.3862943611198906,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0
43771,YAK/S/18386,12.5,0,0,3.6375861597263857,2,3.7612001156935624,1.791759469228055,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
43772,YAK/S/18389,10.0,0,0,4.356708826689592,2,3.1780538303479458,1.791759469228055,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
43773,YAK/S/18391,10.0,0,1,4.23410650459726,2,3.091042453358316,1.791759469228055,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
43774,YAK/S/18393,2.5,0,0,3.6888794541139363,2,3.5263605246161616,2.833213344056216,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
43775,YAK/S/18395,7.5,0,0,4.382026634673881,2,3.1780538303479458,2.5649493574615367,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
43776,YAK/S/18397,12.5,0,1,3.8066624897703196,2,3.5263605246161616,1.791759469228055,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
43777,YAK/S/18400,7.5,5,1,4.248495242049359,2,3.7376696182833684,2.1972245773362196,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
43778,YAK/S/18401,12.5,0,1,4.0943445622221,3,3.091042453358316,1.791759469228055,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
43779,YAK/S/18405,2.5,0,0,4.31748811353631,2,3.367295829986474,2.0794415416798357,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
43780,YAK/S/18406,5.0,0,1,3.912023005428146,2,3.332204510175204,1.791759469228055,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
43781,YAK/S/18412,2.5,1,0,4.007333185232471,2,3.332204510175204,2.833213344056216,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
43782,YAK/S/18421,7.5,0,0,4.330733340286331,2,3.367295829986474,1.3862943611198906,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0
43783,YAK/S/18422,7.5,2,0,3.9512437185814275,2,3.1780538303479458,1.3862943611198906,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
43784,YAK/S/18428,7.5,1,0,3.8066624897703196,2,3.091042453358316,1.0986122886681096,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
43785,YAK/S/18429,12.5,0,1,3.912023005428146,2,3.4657359027997265,1.791759469228055,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
43786,YAK/S/18436,0.0,1,0,4.356708826689592,2,3.2188758248682006,0.6931471805599453,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
43787,YAK/S/18437,10.0,1,0,4.189654742026425,2,3.4011973816621555,2.5649493574615367,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
43788,YAK/S/18441,7.5,1,0,4.276666119016055,5,3.295836866004329,1.0986122886681096,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
43789,YAK/S/18443,10.0,1,0,4.343805421853684,2,3.4657359027997265,1.3862943611198906,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
43790,YAK/S/18445,0.0,0,0,3.9889840465642745,2,3.295836866004329,0.6931471805599453,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
43791,YAK/S/18450,7.5,0,0,4.174387269895637,2,3.2188758248682006,1.791759469228055,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
43792,YAK/S/18451,7.5,1,1,3.912023005428146,2,3.295836866004329,1.791759469228055,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
43793,YAK/S/18453,10.0,1,0,3.9512437185814275,2,3.332204510175204,2.639057329615259,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
43794,YAK/S/18454,7.5,0,0,3.9889840465642745,2,3.4339872044851463,1.0986122886681096,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
43795,YAK/S/18459,7.5,0,1,3.7376696182833684,2,3.295836866004329,3.044522437723423,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
43796,YAK/S/18464,10.0,4,0,4.343805421853684,2,3.8918202981106265,1.3862943611198906,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
43797,YAK/S/18466,12.5,5,0,4.382026634673881,4,3.4339872044851463,2.302585092994046,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
43798,YAK/S/18468,5.0,1,0,4.394449154672439,3,3.1780538303479458,1.9459101490553132,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
